,element,orbital,weight,Hartree-Fock binding energies
221,Pd,3s,0.039,619.8
222,Pd,3p,0.156,525.4
223,Pd,4s,0.0081,84.2
224,Pd,3d,0.22,349.3
225,Pd,4p,0.025,54.6
226,Pd,4d,0.016,8.0
227,Ag,3s,0.041,665.1
228,Ag,3p,0.165,567.2
229,Ag,4s,0.0088,94.2
230,Ag,3d,0.247,384.4
231,Ag,4p,0.027,62.9
232,Ag,4d,0.021,12.6
233,Ag,5s,0.00029,6.4
234,Cd,3s,0.043,712.8
235,Cd,3p,0.174,611.4
236,Cd,4s,0.0096,105.4
237,Cd,3d,0.278,421.8
238,Cd,4p,0.03,72.3
239,Cd,5s,0.0007,7.7
240,Cd,4d,0.026,18.3
241,In,3s,0.045,764.2
242,In,3p,0.183,659.3
243,In,4s,0.01,119.0
244,In,3d,0.31,462.9
245,In,4p,0.032,84.1
246,In,5s,0.001,10.1
247,In,4d,0.031,26.2
248,Sn,3s,0.047,817.2
249,Sn,3p,0.192,708.7
250,Sn,4s,0.011,132.8
251,Sn,3d,0.344,505.5
252,Sn,4p,0.035,96.1
253,Sn,5s,0.0012,12.5
254,Sn,4d,0.037,34.4
255,Sn,5p,0.00077,5.9
256,Sb,3s,0.049,872.0
257,Sb,3p,0.201,759.9
258,Sb,4s,0.011,147.1
259,Sb,3d,0.381,549.9
260,Sb,4p,0.039,108.5
261,Sb,5s,0.0014,14.8
262,Sb,4d,0.043,42.9
263,Sb,5p,0.0016,7.3
264,Te,3s,0.051,928.5
265,Te,3p,0.21,812.8
266,Te,4s,0.012,161.9
267,Te,3d,0.421,595.9
268,Te,4p,0.042,121.4
269,Te,5s,0.0017,17.1
270,Te,4d,0.049,52.0
271,Te,5p,0.0026,8.6
272,I,3s,0.053,986.8
273,I,3p,0.219,867.5
274,I,4s,0.013,177.2
275,I,3d,0.462,643.7
276,I,4p,0.045,134.7
277,I,5s,0.0019,19.4
278,I,4d,0.056,61.5
279,I,5p,0.0038,10.0
280,Xe,3s,0.055,1046.8
281,Xe,3p,0.227,923.9
282,Xe,4s,0.014,193.0
283,Xe,3d,0.507,693.2
284,Xe,4p,0.048,148.6
285,Xe,5s,0.0022,21.8
286,Xe,4d,0.064,71.5
287,Xe,5p,0.0051,11.4
288,Cs,3s,0.056,1114.3
289,Cs,3p,0.236,987.8
290,Cs,4s,0.015,214.9
291,Cs,3d,0.554,750.2
292,Cs,4p,0.052,168.5
293,Cs,5s,0.0025,28.8
294,Cs,4d,0.072,87.6
295,Cs,5p,0.0068,17.1
296,Ba,3s,0.058,1184.0
297,Ba,3p,0.244,1053.8
298,Ba,4s,0.016,237.6
299,Ba,3d,0.604,809.2
300,Ba,4p,0.056,189.3
301,Ba,5s,0.0029,35.9
302,Ba,4d,0.08,104.5
303,Ba,5p,0.0081,22.9
304,Ba,6s,0.00023,4.5
305,La,3s,0.06,1252.7
306,La,3p,0.252,1118.8
307,La,4s,0.017,258.1
308,La,3d,0.656,867.2
309,La,4p,0.059,207.8
310,La,5s,0.0033,40.5
311,La,4d,0.089,119.1
312,La,5p,0.0093,26.4
313,La,6s,0.00029,4.9
314,La,5d,0.00076,6.2
315,Ce,3s,0.062,1302.0
316,Ce,3p,0.26,1164.5
317,Ce,4s,0.017,261.2
318,Ce,3d,0.712,906.2
319,Ce,4p,0.061,209.2
320,Ce,5s,0.0031,38.4
321,Ce,4d,0.095,117.3
322,Ce,5p,0.0089,24.3
323,Ce,6s,0.00031,4.6
324,Ce,4f,0.0022,10.1
325,Pr,3s,0.064,1362.1
326,Pr,3p,0.268,1220.9
327,Pr,4s,0.018,272.7
328,Pr,3d,0.769,955.7
329,Pr,4p,0.064,219.0
