1.1.1 P1		1.1.1 1
51.17.403 P_bbcm		8.2.25 mmm1'
51.18.404 P_ccca		8.2.25 mmm1'
51.19.405 C_amca		8.2.25 mmm1'
52.1.406 Pnna		8.1.24 mmm
52.2.407 Pnna1'		8.2.25 mmm1'
52.3.408 Pn'na		8.3.26 m'mm
52.4.409 Pnn'a		8.3.26 mm'm
52.5.410 Pnna'		8.3.26 mmm'
52.6.411 Pn'n'a		8.4.27 m'm'm
52.7.412 Pnn'a'		8.4.27 mm'm'
52.8.413 Pn'na'		8.4.27 m'mm'
52.9.414 Pn'n'a'		8.5.28 m'm'm'
53.1.415 Pmna		8.1.24 mmm
53.2.416 Pmna1'		8.2.25 mmm1'
53.3.417 Pm'na		8.3.26 m'mm
53.4.418 Pmn'a		8.3.26 mm'm
53.5.419 Pmna'		8.3.26 mmm'
53.6.420 Pm'n'a		8.4.27 m'm'm
53.7.421 Pmn'a'		8.4.27 mm'm'
53.8.422 Pm'na'		8.4.27 m'mm'
53.9.423 Pm'n'a'		8.5.28 m'm'm'
53.10.424 P_bmna		8.2.25 mmm1'
53.11.425 P_cbcn		8.2.25 mmm1'
53.12.426 P_annm		8.2.25 mmm1'
53.13.427 P_anna		8.2.25 mmm1'
54.1.428 Pcca		8.1.24 mmm
54.2.429 Pcca1'		8.2.25 mmm1'
54.3.430 Pc'ca		8.3.26 m'mm
54.4.431 Pcc'a		8.3.26 mm'm
54.5.432 Pcca'		8.3.26 mmm'
54.6.433 Pc'c'a		8.4.27 m'm'm
54.7.434 Pcc'a'		8.4.27 mm'm'
54.8.435 Pc'ca'		8.4.27 m'mm'
54.9.436 Pc'c'a'		8.5.28 m'm'm'
54.10.437 P_bcca		8.2.25 mmm1'
54.11.438 P_abcn		8.2.25 mmm1'
54.12.439 P_bccn		8.2.25 mmm1'
54.13.440 P_cnna		8.2.25 mmm1'
55.1.441 Pbam		8.1.24 mmm
55.2.442 Pbam1'		8.2.25 mmm1'
55.3.443 Pb'am		8.3.26 m'mm
55.4.444 Pbam'		8.3.26 mmm'
55.5.445 Pb'a'm		8.4.27 m'm'm
55.6.446 Pb'am'		8.4.27 m'mm'
55.7.447 Pb'a'm'		8.5.28 m'm'm'
55.8.448 P_cbam		8.2.25 mmm1'
55.9.449 P_bnma		8.2.25 mmm1'
55.10.450 P_cnnm		8.2.25 mmm1'
56.1.451 Pccn		8.1.24 mmm
56.2.452 Pccn1'		8.2.25 mmm1'
56.3.453 Pc'cn		8.3.26 m'mm
56.4.454 Pccn'		8.3.26 mmm'
56.5.455 Pc'c'n		8.4.27 m'm'm
56.6.456 Pc'cn'		8.4.27 m'mm'
56.7.457 Pc'c'n'		8.5.28 m'm'm'
57.1.458 Pbcm		8.1.24 mmm
57.2.459 Pbcm1'		8.2.25 mmm1'
57.3.460 Pb'cm		8.3.26 m'mm
57.4.461 Pbc'm		8.3.26 mm'm
57.5.462 Pbcm'		8.3.26 mmm'
57.6.463 Pb'c'm		8.4.27 m'm'm
57.7.464 Pbc'm'		8.4.27 mm'm'
57.8.465 Pb'cm'		8.4.27 m'mm'
57.9.466 Pb'c'm'		8.5.28 m'm'm'
57.10.467 P_abcm		8.2.25 mmm1'
57.11.468 P_cnma		8.2.25 mmm1'
57.12.469 P_abca		8.2.25 mmm1'
57.13.470 P_bbcn		8.2.25 mmm1'
58.1.471 Pnnm		8.1.24 mmm
58.2.472 Pnnm1'		8.2.25 mmm1'
58.3.473 Pn'nm		8.3.26 m'mm
58.4.474 Pnnm'		8.3.26 mmm'
58.5.475 Pn'n'm		8.4.27 m'm'm
58.6.476 Pnn'm'		8.4.27 mm'm'
